,Unnamed: 0,planet,reference,reference 2,period,sma,eq temp,eq temp err,Radius,Mass,tdepth,Tstar,Rstar,kmag,gravity,logg:,3.6 Tday,3.6 Tday err,3.6 Tnight,3.6 Tnight err,4.5 Tday,4.5 Tday err,4.5 Tnight,4.5 Tnight err,3.6 Tmax,3.6 Tmax err,3.6 Tmin,3.6 Tmin err,4.5 Tmax,4.5 Tmax err,4.5 Tmin,4.5 Tmin err,3.6 Fday,3.6 Fday err,3.6 Fnight,3.6 Fnight err,4.5 Fday,4.5 Fday err,4.5 Fnight,4.5 Fnight err,3.6 Fmax,3.6 Fmax err,3.6 Fmin,3.6 Fmin err,4.5 Fmax,4.5 Fmax err,4.5 Fmin,4.5 Fmin err,"3.6 offset, deg","3.6 offset err, deg","4.5 offset, deg","4.5 offset err, deg","3.6 offset, hrs","3.6 offset err, hrs","4.5 offset, hrs","4.5 offset err, hrs"
0,0,HD 189733b,Knutson 2012,,2.219,468248000000.0,1209.0,11.0,1.138,1.144,0.02412,5052.0,52200000000.0,5.5,21.89958445,3.340435874,1328.0,11.0,805.0,21.0,1192.0,69.0,928.0,26.0,,,,,,,,,0.1466,0.004,0.0224,0.0073,0.1787,0.0038,0.0805,0.0097,,,,,,,,,35.7593510590356,-3.9882830103650297,20.1442091,5.543037404,-5.29,0.59,-2.98,0.82
1,1,WASP-43b,20-May,Stevenson 2017,0.813,212432000000.0,1427.0,9.0,1.036,2.034,0.0255,4400.0,41760000000.0,9.3,46.98138456,3.671925811,1624.0,23.0,720.0,0.0,1485.0,41.0,806.0,48.0,,,,,,,,,0.333,0.0053,0.0,0.0077,0.3768,0.0116,0.0542,0.0124,,,,,,,,,12.2,1.7,20.6,2.0,-0.6612399999999999,-0.09214,-1.11652,-0.1084
2,2,HD 209458b,Zellem 2014,,3.525,704167200000.0,1459.0,12.0,1.359,0.69,0.01461,6091.0,82824000000.0,6.3,9.261995188,2.966704551,,,,,1499.0,15.0,972.0,44.0,,,,,,,,,,,,,0.1527,0.0036,0.0443,0.0068,,,,,,,,,,,40.9,6.0,,,-9.6115,-1.41
3,3,WASP-14b,Wong 2015,,2.244,553520000000.0,1872.0,29.0,1.281,7.69,0.0102,6475.0,97440000000.0,8.6,116.1776143,4.065122454,2405.0,29.0,1079.0,0.0,2393.0,51.0,1380.0,65.0,,,,,,,,,0.1877,0.0101,0.0175,-1.0,0.2248,0.0084,0.0675,0.0084,,,,,,,,,9.558823529411763,-1.4037433155080212,6.751336898,-1.403743316,-1.43,0.21,-1.01,0.21
4,4,WASP-18b,Maxted 2013,Bell 2021,0.941,299200000000.0,2413.0,44.0,1.267,10.2,0.00916,6400.0,85608000000.0,8.1,157.5220357,4.197341316,,,,,3151.0,58.0,960.0,155.0,,,,,,,,,0.304,0.019,0.008,0.009,0.379,0.015,0.013,0.007,,,,,,,,,,,-0.9,-2.0,,,0.05646,0.12546666666666667
5,5,WASP-12b,Bell 2019,,1.091,347072000000.0,2593.0,57.0,1.79,1.361,0.0138,6360.0,115536000000.0,10.2,10.53043804,3.022446437,2813.0,48.0,1760.0,97.0,2854.0,74.0,1340.0,180.0,,,,,,,,,0.42,0.04,0.04,0.06,0.42,0.03,0.02,0.03,,,,,,,,,,,,,,,,
6,6,WASP-19b,Wong 2016,,0.789,244446400000.0,2520.0,40.0,1.392,1.069,0.01985,5568.0,69600000000.0,10.5,13.67708697,3.135993608,2384.0,49.0,1170.0,0.0,2357.0,64.0,1130.0,195.0,,,,,,,,,0.492,0.026,0.02,0.043,0.59,0.036,0.114,0.053,,,,,,,,,10.456273764258556,-3.992395437262357,12.92775665,-3.6121673,-0.55,0.21,-0.68,0.19
7,7,HAT-P-7b,Wong 2016,,2.205,549929600000.0,2733.0,21.0,1.491,1.682,0.0061,6389.0,139200000000.0,9.3,18.75707342,3.273165078,2362.0,77.0,1360.0,0.0,2682.0,49.0,1710.0,180.0,,,,,,,,,0.158,0.018,-1.0,-1.0,0.195,0.007,0.079,0.019,,,,,,,,,-6.802721088435373,-7.482993197278912,-4.081632653,-7.482993197,1.0,1.1,0.6,1.1
8,8,Qatar-2b,May 2021b,,1.337,321640000000.0,1290.0,14.0,1.144,2.484,0.0272,4645.0,49624800000.0,10.6,47.05371485,3.672593916,1421.0,28.0,842.0,141.0,1368.0,32.0,724.0,135.0,1422.0,28.0,840.0,141.0,1370.0,33.0,720.0,134.0,0.2227,0.018,0.0152,0.0309,0.3018,0.0186,0.0138,0.04,0.2228,0.0119,0.0151,0.0308,0.3019,0.0193,0.0136,0.0399,0.6,5.8,-5.2,5.4,-0.05348000000000001,-0.5169733333333334,0.46349333333333337,-0.4813200000000001
9,9,WASP-77 Ab,Private Comm,,1.36,359788000000.0,1674.0,24.0,1.21,1.759,0.0169,5365.0,75864000000.0,8.4,29.7844423,3.473989473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,3.1,14.4,2.6,-2.1125333333333334,-0.2810666666666667,-1.3056,-0.23573333333333335
10,10,WASP-76b,May 2021a,,1.81,493680000000.0,2160.0,40.0,1.83,0.92,0.0119,6250.0,120408000000.0,8.2,6.810516064,2.833180022,2471.0,27.0,1518.0,61.0,2699.0,32.0,1259.0,44.0,,,,,,,,,0.2327,0.002662,0.071961,0.00867,0.343236,0.004817,0.050382,0.005847,,,,,,,,,0.68,0.48,0.67,0.2,-0.08205333333333334,-0.05791999999999999,-0.08084666666666666,-0.024133333333333333
11,11,HAT-P-23b,,,1.213,347072000000.0,1951.0,30.0,1.368,2.1,0.0137,5905.0,66816000000.0,10.8,27.81899739,3.444341474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,KELT-14b,,,1.71,449548000000.0,1970.0,50.0,1.743,1.284,0.0131,5720.0,105792000000.0,9.4,10.47766776,3.020264623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,WASP-33b,Zhang 2018,,1.22,357544000000.0,2782.0,41.0,1.497,3.28,0.01372,7430.0,100224000000.0,7.5,36.28479024,3.559724617,3082.0,92.0,1954.0,130.0,3209.0,88.0,1498.0,116.0,,,,,,,,,0.3506,-1.0,0.1688,-1.0,0.4356,0.016,0.0772,0.0247,,,,,,,,,12.8,5.8,19.79508197,-2.950819672,-1.0410666666666668,-0.47173333333333334,-1.61,0.24
14,14,HD 149026b,Zhang 2018,,2.876,652854400000.0,1626.0,69.0,0.813,0.368,0.00263,6179.0,98136000000.0,6.8,13.80260632,3.139961101,1941.0,46.0,1133.0,280.0,1649.0,49.0,1018.0,115.0,,,,,,,,,0.043,-1.0,0.0052,-1.0,0.04,0.0023,0.0072,0.0051,,,,,,,,,-32.2,16.0,24.30458971,-5.111265647,6.173813333333334,-3.0677333333333334,-4.66,0.98
15,15,WASP-52b,May 2021b,,1.75,406912000000.0,1300.0,35.0,1.27,0.46,0.0271,5000.0,54984000000.0,10.1,7.070412687,2.849444764,1454.0,21.0,1116.0,46.0,1481.0,34.0,12224.0,77.0,1455.0,21.0,1115.0,45.0,1504.0,36.0,1481.0,34.0,0.2206,0.0077,0.0906,0.0138,0.3365,0.0163,0.1978,0.0357,0.2207,0.0077,0.0906,0.0138,0.3483,0.0181,0.186,0.0366,-2.1,4.9,31.8,7.8,0.24500000000000002,-0.5716666666666668,-3.71,-0.91
16,16,Qatar-1b,Keeting 2020,May 2021b,1.42,348568000000.0,1360.0,28.0,1.143,1.294,0.0214,4910.0,53460316800.0,10.4,24.55478802,3.390136189,1542.0,32.0,1117.0,73.0,1696.0,39.0,1098.0,158.0,,,,,1697.0,39.0,1096.0,157.0,0.21,0.01,0.078,0.0152,0.2922,0.0163,0.1399,0.0213,0.21,0.01,0.078,0.0152,0.293,0.0164,0.1392,0.0394,11.0,7.0,-7.98,5.79,-1.0413333333333332,-0.6626666666666666,0.75544,-0.5481199999999999
17,17,WASP-103b,Kreidberg 2018,,0.926,296956000000.0,2508.0,75.0,1.528,1.488,0.01195,6110.0,100224000000.0,10.8,15.79976387,3.198650596,2741.0,100.0,1912.0,100.0,3241.0,100.0,1344.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.7,-1.0,0.4,-0.12346666666666667,-0.04321333333333333,0.061733333333333335,-0.024693333333333334
18,18,WASP-121b,,,1.275,380582400000.0,2358.0,52.0,1.865,1.183,0.01551,6459.0,101616000000.0,9.4,8.431822316,2.925921446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,WASP-34b,May 2021b,,4.318,783904000000.0,1158.0,30.0,1.0,0.56,0.01261,5700.0,64728000000.0,8.79,13.8829705,3.142482401,,,,,1184.0,47.0,726.0,119.0,,,,,1222.0,47.0,666.0,117.0,,,,,851.0,95.0,117.0,123.0,,,,,930.0,97.0,38.0,122.0,,,34.7,4.7,,,-9.988973333333334,-1.3529733333333334
20,20,WASP-140b,May 2021b,,2.236,483208000000.00006,1317.0,40.0,1.44,2.44,0.0205,5260.0,60552000000.0,9.16,29.17153054,3.464959216,,,,,1169.0,25.0,1201.0,29.0,,,,,1252.0,25.0,973.0,32.0,,,,,0.1904,0.0111,0.2064,0.0132,,,,,0.2302,0.0111,0.1053,0.0114,,,-55.7,28.0,,,8.303013333333334,-4.173866666666667
21,21,WASP-95b,,,2.185,511033600000.00006,1570.0,50.0,1.23,1.44,0.01,5830.0,85608000000.0,8.56,23.59644854,3.372846643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,TrES-3b,,,1.306,341387200000.0,1638.0,22.0,1.336,1.91,0.02739,5650.0,57768000000.0,10.61,26.52863013,3.423714825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,KELT-7b,,,2.735,660484000000.0,2048.0,27.0,1.6,1.28,0.0083,6768.0,125976000000.0,7.54,12.39550937,3.093264378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,WASP-74b,,,2.138,554268000000.0,1910.0,40.0,1.36,0.72,0.0096,5990.0,98832000000.0,8.22,9.650483075,2.984549053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,KELT-20b,,,3.474,810832000000.0,2262.0,73.0,1.741,3.38,0.01309,8720.0,108576000000.0,7.42,27.64480506,3.441613532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,KELT-16b,Bell 2021,,0.969,305782400000.0,2453.0,55.0,1.415,2.75,0.01146,6236.0,94656000000.0,10.64,34.0497704,3.532114188,,,,,3070.0,155.0,1900.0,435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-38.0,15.5,,,2.4548,-1.0013
27,27,MASCARA-1b,Bell 2021,,2.149,643280000000.0,2570.0,50.0,1.5,3.7,-0.01,7554.0,146160000000.0,7.74,40.76745305,3.61031358,,,,,2952.0,98.0,1300.0,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,11.0,,,0.8596000000000001,-1.5759333333333334
28,28,KELT-9b,Mansfield ,,1.481,517915200000.0,4050.0,180.0,1.891,2.88,0.00677,10170.0,164256000000.0,7.48,19.96658557,3.300303804,,,,,4566.0,138.0,2556.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,2.2,,,-1.8463133333333335,-0.21721333333333337
